,Rain,Temp,NR,VPD,PET,Sap velocity (cm/h),Sap velocity_LR (cm/h),Sap velocity_o (cm/h),Total SF (cm3/h),Total SF_LR (cm3/h),Total SF_o (cm3/h),S1,S2,S3,S_avg
2021-06-07 05:30:00,0.0,6.128,0.2,0.7350329174848298,0.0572924146375931,1.3932742420136313,0.8231384712366667,0.9373925022485079,84.87197138779916,50.14187636026909,57.101715678738906,0.211,0.0926039401369421,0.091789373536233,0.1317977712243917
2021-06-07 06:00:00,0.0,6.077,0.2,0.7453971299023434,0.047815106789033,1.3515687433524886,0.7814118474533392,0.8956708692905377,82.33146085344323,47.600078978922404,54.56022231592221,0.211,0.0926039401369421,0.091789373536233,0.1317977712243917
2021-06-07 06:30:00,0.0,6.179,0.2,0.7488060498407207,0.0583467353301502,1.9078745277534417,1.3379424470427277,1.4521463097181984,116.21909560100569,81.50140845194885,88.45819174204993,0.211,0.0926039401369421,0.091789373536233,0.1317977712243917
2021-06-07 07:00:00,0.0,6.306,7.401,0.7521922800851977,0.0747832061161889,1.9890820732589627,1.4191725030755031,1.5333703787224364,121.16589234122027,86.44957643177115,93.4059950191458,0.211,0.0926039401369421,0.091789373536233,0.1317977712243917
2021-06-07 07:30:00,0.0,6.357,7.401,0.7521922800851977,0.0747521018808808,2.9987148444882896,2.4288657476353297,2.543033144671305,182.66815879245166,147.95552664505107,154.91008861316215,0.211,0.0926039401369421,0.091789373536233,0.1317977712243917
2021-06-07 08:00:00,0.0,6.281,33.98,0.7555559511419888,0.0784283479050107,3.5149624410424245,2.94498738561884,3.0591706325116848,214.11562973718043,179.39532476279447,186.35085223256928,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 08:30:00,0.0,6.382,33.98,0.7521922800851977,0.0780549076496314,4.476607909588035,3.9061157175792345,4.020385102541401,272.69472653699853,237.94291993849546,244.9036945502431,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 09:00:00,0.0,6.763,71.66,0.7521922800851977,0.0500358814080301,4.331327837169321,3.7609373058535165,3.875188960943808,263.8449209655425,229.09930707710825,236.05900166517273,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 09:30:00,0.0,6.535,71.66,0.7521922800851977,0.0827335349723863,5.259359044775219,4.688175430262266,4.802569140909187,320.3763888731663,285.5824639398661,292.5508119105699,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 10:00:00,0.0,6.965,142.0,0.7453971299023434,0.0596684316652278,4.8001016145577315,4.22935303060317,4.343667912295687,292.40050135462604,257.6330765172806,264.5966225842666,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
2021-06-07 10:30:00,0.0,6.611,142.0,0.7555559511419888,0.1181811887354376,5.04854711546212,4.477573528179088,4.591928982356602,307.5346786819195,272.7535476584692,279.71956521791657,0.21,0.0916809522352242,0.091428807882194,0.13103658670580606
